[DEBUG] [2023-02-01 00:00:32] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 364, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2023-02-01 00:00:32] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:32] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:32] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 365, groupId: 1
[DEBUG] [2023-02-01 00:00:32] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 365, nodeWithLatestBlockNumber:[127.0.0.1:20200]
[DEBUG] [2023-02-01 00:00:32] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:32] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:32] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 365, groupId: 1
[DEBUG] [2023-02-01 00:00:32] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 365, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2023-02-01 00:00:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00000000000000000000000000000000, msgType : 4097
[DEBUG] [2023-02-01 00:00:33] ChannelMsgHandler.onMessage(156) |  call 
[DEBUG] [2023-02-01 00:00:33] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20200, updated blockNumber: 366, groupId: 1
